sub_id,turf_id,aphia_id,mean_hsi,percent_suitable,present,scenario
209_1,MX_C_209,140657,NA,NA,NA,rcp85_2100
205_1,MX_C_205,140657,NA,NA,NA,rcp85_2100
201_1,MX_C_201,140657,503,25,TRUE,rcp85_2100
9_1,MX_C_009,210358,NA,0,FALSE,current
25_1,MX_C_025,210358,786.25,75,TRUE,current
22_1,MX_C_022,210358,803.6744186046511,95.55555555555556,TRUE,current
29_1,MX_C_029,210358,663.5,100,TRUE,current
9_1,MX_C_009,210358,NA,0,FALSE,rcp26_2050
25_1,MX_C_025,210358,848.75,100,TRUE,rcp26_2050
22_1,MX_C_022,210358,827.5348837209302,95.55555555555556,TRUE,rcp26_2050
29_1,MX_C_029,210358,726,100,TRUE,rcp26_2050
9_1,MX_C_009,210358,NA,0,FALSE,rcp26_2100
25_1,MX_C_025,210358,848.75,100,TRUE,rcp26_2100
22_1,MX_C_022,210358,827.5348837209302,95.55555555555556,TRUE,rcp26_2100
29_1,MX_C_029,210358,726,100,TRUE,rcp26_2100
9_1,MX_C_009,210358,NA,0,FALSE,rcp45_2050
25_1,MX_C_025,210358,856,100,TRUE,rcp45_2050
22_1,MX_C_022,210358,839.7441860465116,95.55555555555556,TRUE,rcp45_2050
29_1,MX_C_029,210358,726,100,TRUE,rcp45_2050
9_1,MX_C_009,210358,NA,0,FALSE,rcp45_2100
25_1,MX_C_025,210358,774.6666666666666,75,TRUE,rcp45_2100
22_1,MX_C_022,210358,827.6744186046511,95.55555555555556,TRUE,rcp45_2100
29_1,MX_C_029,210358,631.5,100,TRUE,rcp45_2100
9_1,MX_C_009,210358,NA,0,FALSE,rcp85_2050
25_1,MX_C_025,210358,820.4,93.75,TRUE,rcp85_2050
22_1,MX_C_022,210358,829.3488372093024,95.55555555555556,TRUE,rcp85_2050
29_1,MX_C_029,210358,655,100,TRUE,rcp85_2050
9_1,MX_C_009,210358,NA,0,FALSE,rcp85_2100
25_1,MX_C_025,210358,644.4166666666666,75,TRUE,rcp85_2100
22_1,MX_C_022,210358,795.675,88.88888888888889,TRUE,rcp85_2100
29_1,MX_C_029,210358,NA,0,FALSE,rcp85_2100
12_2,MX_C_012,240747,922.5,100,TRUE,current
12_1,MX_C_012,240747,NA,NA,NA,current
10_1,MX_C_010,240747,914.125,100,TRUE,current
12_2,MX_C_012,240747,902,100,TRUE,rcp26_2050
12_1,MX_C_012,240747,NA,NA,NA,rcp26_2050
10_1,MX_C_010,240747,907.25,100,TRUE,rcp26_2050
12_2,MX_C_012,240747,NA,NA,NA,rcp26_2100
12_1,MX_C_012,240747,NA,NA,NA,rcp26_2100
10_1,MX_C_010,240747,NA,NA,NA,rcp26_2100
12_2,MX_C_012,240747,NA,NA,NA,rcp45_2050
12_1,MX_C_012,240747,NA,NA,NA,rcp45_2050
10_1,MX_C_010,240747,NA,NA,NA,rcp45_2050
12_2,MX_C_012,240747,NA,NA,NA,rcp45_2100
12_1,MX_C_012,240747,NA,NA,NA,rcp45_2100
10_1,MX_C_010,240747,NA,NA,NA,rcp45_2100
12_2,MX_C_012,240747,NA,NA,NA,rcp85_2050
12_1,MX_C_012,240747,NA,NA,NA,rcp85_2050
10_1,MX_C_010,240747,NA,NA,NA,rcp85_2050
12_2,MX_C_012,240747,NA,NA,NA,rcp85_2100
12_1,MX_C_012,240747,NA,NA,NA,rcp85_2100
10_1,MX_C_010,240747,NA,NA,NA,rcp85_2100
18_1,MX_C_018,241825,857.5625,86.48648648648648,TRUE,current
31_1,MX_C_031,241825,867.4375,94.11764705882354,TRUE,current
32_1,MX_C_032,241825,874.3529411764706,94.44444444444444,TRUE,current
18_1,MX_C_018,241825,862.125,86.48648648648648,TRUE,rcp26_2050
31_1,MX_C_031,241825,867.9375,94.11764705882354,TRUE,rcp26_2050
32_1,MX_C_032,241825,871.8529411764706,94.44444444444444,TRUE,rcp26_2050
18_1,MX_C_018,241825,862.125,86.48648648648648,TRUE,rcp26_2100
31_1,MX_C_031,241825,867.9375,94.11764705882354,TRUE,rcp26_2100
32_1,MX_C_032,241825,871.8529411764706,94.44444444444444,TRUE,rcp26_2100
18_1,MX_C_018,241825,860.96875,86.48648648648648,TRUE,rcp45_2050
31_1,MX_C_031,241825,867.375,94.11764705882354,TRUE,rcp45_2050
32_1,MX_C_032,241825,871.8823529411765,94.44444444444444,TRUE,rcp45_2050
18_1,MX_C_018,241825,859.0625,86.48648648648648,TRUE,rcp45_2100
31_1,MX_C_031,241825,865.625,94.11764705882354,TRUE,rcp45_2100
32_1,MX_C_032,241825,871.1470588235294,94.44444444444444,TRUE,rcp45_2100
18_1,MX_C_018,241825,860.28125,86.48648648648648,TRUE,rcp85_2050
31_1,MX_C_031,241825,867.0625,94.11764705882354,TRUE,rcp85_2050
32_1,MX_C_032,241825,872.2941176470588,94.44444444444444,TRUE,rcp85_2050
18_1,MX_C_018,241825,857.5,86.48648648648648,TRUE,rcp85_2100
31_1,MX_C_031,241825,858.0625,94.11764705882354,TRUE,rcp85_2100
32_1,MX_C_032,241825,867.9705882352941,94.44444444444444,TRUE,rcp85_2100
217_1,MX_C_217,382891,750.1734693877551,62.82051282051282,TRUE,current
216_1,MX_C_216,382891,773.86,81.30081300813008,TRUE,current
215_1,MX_C_215,382891,754.2285714285714,62.5,TRUE,current
214_1,MX_C_214,382891,733.1052631578947,66.66666666666667,TRUE,current
213_1,MX_C_213,382891,756.4508928571429,80.86642599277978,TRUE,current
stuart_1,NA,382891,926.6521739130435,100,TRUE,current
stuart_2,NA,382891,964.375,100,TRUE,current
stuart_3,NA,382891,925.5,95.23809523809524,TRUE,current
stuart_4,NA,382891,942.1724137931035,93.54838709677419,TRUE,current
stuart_5,NA,382891,950.3,100,TRUE,current
stuart_6,NA,382891,958.1071428571429,100,TRUE,current
stuart_7,NA,382891,945,87.5,TRUE,current
stuart_8,NA,382891,933.3809523809524,95.45454545454545,TRUE,current
stuart_9,NA,382891,975.3333333333334,60,TRUE,current
217_1,MX_C_217,382891,857.2352941176471,10.897435897435898,TRUE,rcp26_2050
216_1,MX_C_216,382891,841.2608695652174,18.69918699186992,TRUE,rcp26_2050
215_1,MX_C_215,382891,821,8.928571428571429,FALSE,rcp26_2050
214_1,MX_C_214,382891,829,3.508771929824561,FALSE,rcp26_2050
213_1,MX_C_213,382891,826.9024390243902,14.8014440433213,TRUE,rcp26_2050
stuart_1,NA,382891,869.9130434782609,100,TRUE,rcp26_2050
stuart_2,NA,382891,898.75,100,TRUE,rcp26_2050
stuart_3,NA,382891,903.1052631578947,90.47619047619048,TRUE,rcp26_2050
stuart_4,NA,382891,860.2903225806451,100,TRUE,rcp26_2050
stuart_5,NA,382891,880.5,100,TRUE,rcp26_2050
stuart_6,NA,382891,873.7857142857143,100,TRUE,rcp26_2050
stuart_7,NA,382891,836.125,100,TRUE,rcp26_2050
stuart_8,NA,382891,843.9545454545455,100,TRUE,rcp26_2050
stuart_9,NA,382891,883.1428571428571,70,TRUE,rcp26_2050
217_1,MX_C_217,382891,857.2352941176471,10.897435897435898,TRUE,rcp26_2100
216_1,MX_C_216,382891,841.2608695652174,18.69918699186992,TRUE,rcp26_2100
215_1,MX_C_215,382891,821,8.928571428571429,FALSE,rcp26_2100
214_1,MX_C_214,382891,829,3.508771929824561,FALSE,rcp26_2100
213_1,MX_C_213,382891,826.9024390243902,14.8014440433213,TRUE,rcp26_2100
stuart_1,NA,382891,869.9130434782609,100,TRUE,rcp26_2100
stuart_2,NA,382891,898.75,100,TRUE,rcp26_2100
stuart_3,NA,382891,903.1052631578947,90.47619047619048,TRUE,rcp26_2100
stuart_4,NA,382891,860.2903225806451,100,TRUE,rcp26_2100
stuart_5,NA,382891,880.5,100,TRUE,rcp26_2100
stuart_6,NA,382891,873.7857142857143,100,TRUE,rcp26_2100
stuart_7,NA,382891,836.125,100,TRUE,rcp26_2100
stuart_8,NA,382891,843.9545454545455,100,TRUE,rcp26_2100
stuart_9,NA,382891,883.1428571428571,70,TRUE,rcp26_2100
217_1,MX_C_217,382891,871.0588235294117,10.897435897435898,TRUE,rcp45_2050
216_1,MX_C_216,382891,866.1304347826087,18.69918699186992,TRUE,rcp45_2050
215_1,MX_C_215,382891,844,8.928571428571429,FALSE,rcp45_2050
214_1,MX_C_214,382891,845.5,3.508771929824561,FALSE,rcp45_2050
213_1,MX_C_213,382891,835.2325581395348,15.52346570397112,TRUE,rcp45_2050
stuart_1,NA,382891,864.0217391304348,100,TRUE,rcp45_2050
stuart_2,NA,382891,904.9375,100,TRUE,rcp45_2050
stuart_3,NA,382891,865.2857142857143,100,TRUE,rcp45_2050
stuart_4,NA,382891,841.0322580645161,100,TRUE,rcp45_2050
stuart_5,NA,382891,884.8,100,TRUE,rcp45_2050
stuart_6,NA,382891,865.75,100,TRUE,rcp45_2050
stuart_7,NA,382891,825.125,100,TRUE,rcp45_2050
stuart_8,NA,382891,833.2727272727273,100,TRUE,rcp45_2050
stuart_9,NA,382891,832.4444444444445,90,TRUE,rcp45_2050
217_1,MX_C_217,382891,835.1666666666666,11.538461538461538,TRUE,rcp45_2100
216_1,MX_C_216,382891,848.9130434782609,18.69918699186992,TRUE,rcp45_2100
215_1,MX_C_215,382891,836.4,8.928571428571429,FALSE,rcp45_2100
214_1,MX_C_214,382891,838,3.508771929824561,FALSE,rcp45_2100
213_1,MX_C_213,382891,796.2857142857143,15.16245487364621,TRUE,rcp45_2100
stuart_1,NA,382891,830.2391304347826,100,TRUE,rcp45_2100
stuart_2,NA,382891,888.25,100,TRUE,rcp45_2100
stuart_3,NA,382891,848.3809523809524,100,TRUE,rcp45_2100
stuart_4,NA,382891,830.2903225806451,100,TRUE,rcp45_2100
stuart_5,NA,382891,882.75,100,TRUE,rcp45_2100
stuart_6,NA,382891,869.5714285714286,100,TRUE,rcp45_2100
stuart_7,NA,382891,793.375,100,TRUE,rcp45_2100
stuart_8,NA,382891,805.5238095238095,95.45454545454545,TRUE,rcp45_2100
stuart_9,NA,382891,854.5714285714286,70,TRUE,rcp45_2100
217_1,MX_C_217,382891,857.6842105263158,12.179487179487179,TRUE,rcp85_2050
216_1,MX_C_216,382891,868,18.69918699186992,TRUE,rcp85_2050
215_1,MX_C_215,382891,857.8,8.928571428571429,FALSE,rcp85_2050
214_1,MX_C_214,382891,871.5,3.508771929824561,FALSE,rcp85_2050
213_1,MX_C_213,382891,832.046511627907,15.52346570397112,TRUE,rcp85_2050
stuart_1,NA,382891,858.6739130434783,100,TRUE,rcp85_2050
stuart_2,NA,382891,911.0625,100,TRUE,rcp85_2050
stuart_3,NA,382891,866.65,95.23809523809524,TRUE,rcp85_2050
stuart_4,NA,382891,848.5483870967741,100,TRUE,rcp85_2050
stuart_5,NA,382891,896.9,100,TRUE,rcp85_2050
stuart_6,NA,382891,885.1785714285714,100,TRUE,rcp85_2050
stuart_7,NA,382891,836.7142857142857,87.5,TRUE,rcp85_2050
stuart_8,NA,382891,830,100,TRUE,rcp85_2050
stuart_9,NA,382891,811.8,100,TRUE,rcp85_2050
217_1,MX_C_217,382891,NA,0,FALSE,rcp85_2100
216_1,MX_C_216,382891,684.9090909090909,8.94308943089431,FALSE,rcp85_2100
215_1,MX_C_215,382891,NA,0,FALSE,rcp85_2100
214_1,MX_C_214,382891,675,1.7543859649122806,FALSE,rcp85_2100
213_1,MX_C_213,382891,NA,0,FALSE,rcp85_2100
stuart_1,NA,382891,829,54.34782608695652,TRUE,rcp85_2100
stuart_2,NA,382891,678,37.5,TRUE,rcp85_2100
stuart_3,NA,382891,771.3333333333334,57.142857142857146,TRUE,rcp85_2100
stuart_4,NA,382891,730.2173913043479,74.19354838709677,TRUE,rcp85_2100
stuart_5,NA,382891,783.4285714285714,35,TRUE,rcp85_2100
stuart_6,NA,382891,674.7,35.714285714285715,TRUE,rcp85_2100
stuart_7,NA,382891,687.2,62.5,TRUE,rcp85_2100
stuart_8,NA,382891,761.0833333333334,54.54545454545455,TRUE,rcp85_2100
stuart_9,NA,382891,808.7142857142857,70,TRUE,rcp85_2100
9_1,MX_C_009,382895,826.6666666666666,100,TRUE,current
25_1,MX_C_025,382895,821.875,100,TRUE,current
22_1,MX_C_022,382895,842.5116279069767,95.55555555555556,TRUE,current
29_1,MX_C_029,382895,781,100,TRUE,current
26_1,MX_C_026,382895,900.5,100,TRUE,current
9_1,MX_C_009,382895,853.6666666666666,100,TRUE,rcp26_2050
25_1,MX_C_025,382895,848.25,100,TRUE,rcp26_2050
22_1,MX_C_022,382895,883.5581395348837,95.55555555555556,TRUE,rcp26_2050
29_1,MX_C_029,382895,849.5,100,TRUE,rcp26_2050
26_1,MX_C_026,382895,889.25,100,TRUE,rcp26_2050
9_1,MX_C_009,382895,853.6666666666666,100,TRUE,rcp26_2100
