sub_id,turf_id,scenario,species_richness
24_1,MX_C_024,rcp85_2050,4
24_1,MX_C_024,rcp85_2100,4
25_1,MX_C_025,current,7
25_1,MX_C_025,rcp26_2050,7
25_1,MX_C_025,rcp26_2100,7
25_1,MX_C_025,rcp45_2050,7
25_1,MX_C_025,rcp45_2100,7
25_1,MX_C_025,rcp85_2050,7
25_1,MX_C_025,rcp85_2100,8
26_1,MX_C_026,current,3
26_1,MX_C_026,rcp26_2050,3
26_1,MX_C_026,rcp26_2100,3
26_1,MX_C_026,rcp45_2050,3
26_1,MX_C_026,rcp45_2100,3
26_1,MX_C_026,rcp85_2050,3
26_1,MX_C_026,rcp85_2100,3
27_1,MX_C_027,current,3
27_1,MX_C_027,rcp26_2050,3
27_1,MX_C_027,rcp26_2100,3
27_1,MX_C_027,rcp45_2050,3
27_1,MX_C_027,rcp45_2100,3
27_1,MX_C_027,rcp85_2050,3
27_1,MX_C_027,rcp85_2100,3
29_1,MX_C_029,current,8
29_1,MX_C_029,rcp26_2050,8
29_1,MX_C_029,rcp26_2100,8
29_1,MX_C_029,rcp45_2050,7
29_1,MX_C_029,rcp45_2100,7
29_1,MX_C_029,rcp85_2050,7
29_1,MX_C_029,rcp85_2100,6
31_1,MX_C_031,current,9
31_1,MX_C_031,rcp26_2050,9
31_1,MX_C_031,rcp26_2100,9
31_1,MX_C_031,rcp45_2050,9
31_1,MX_C_031,rcp45_2100,9
31_1,MX_C_031,rcp85_2050,9
31_1,MX_C_031,rcp85_2100,9
32_1,MX_C_032,current,9
32_1,MX_C_032,rcp26_2050,9
32_1,MX_C_032,rcp26_2100,9
32_1,MX_C_032,rcp45_2050,9
32_1,MX_C_032,rcp45_2100,9
32_1,MX_C_032,rcp85_2050,9
32_1,MX_C_032,rcp85_2100,9
9_1,MX_C_009,current,7
9_1,MX_C_009,rcp26_2050,7
9_1,MX_C_009,rcp26_2100,7
9_1,MX_C_009,rcp45_2050,7
9_1,MX_C_009,rcp45_2100,7
9_1,MX_C_009,rcp85_2050,7
9_1,MX_C_009,rcp85_2100,7
stuart_1,NA,current,1
stuart_1,NA,rcp26_2050,1
stuart_1,NA,rcp26_2100,1
stuart_1,NA,rcp45_2050,1
stuart_1,NA,rcp45_2100,1
stuart_1,NA,rcp85_2050,1
stuart_1,NA,rcp85_2100,1
stuart_2,NA,current,1
stuart_2,NA,rcp26_2050,1
stuart_2,NA,rcp26_2100,1
stuart_2,NA,rcp45_2050,1
stuart_2,NA,rcp45_2100,1
stuart_2,NA,rcp85_2050,1
stuart_2,NA,rcp85_2100,1
stuart_3,NA,current,1
stuart_3,NA,rcp26_2050,1
stuart_3,NA,rcp26_2100,1
stuart_3,NA,rcp45_2050,1
stuart_3,NA,rcp45_2100,1
stuart_3,NA,rcp85_2050,1
stuart_3,NA,rcp85_2100,1
stuart_4,NA,current,1
stuart_4,NA,rcp26_2050,1
stuart_4,NA,rcp26_2100,1
stuart_4,NA,rcp45_2050,1
stuart_4,NA,rcp45_2100,1
stuart_4,NA,rcp85_2050,1
stuart_4,NA,rcp85_2100,1
stuart_5,NA,current,1
stuart_5,NA,rcp26_2050,1
stuart_5,NA,rcp26_2100,1
stuart_5,NA,rcp45_2050,1
stuart_5,NA,rcp45_2100,1
stuart_5,NA,rcp85_2050,1
stuart_5,NA,rcp85_2100,1
stuart_6,NA,current,1
stuart_6,NA,rcp26_2050,1
stuart_6,NA,rcp26_2100,1
stuart_6,NA,rcp45_2050,1
stuart_6,NA,rcp45_2100,1
stuart_6,NA,rcp85_2050,1
stuart_6,NA,rcp85_2100,1
stuart_7,NA,current,1
stuart_7,NA,rcp26_2050,1
stuart_7,NA,rcp26_2100,1
stuart_7,NA,rcp45_2050,1
stuart_7,NA,rcp45_2100,1
stuart_7,NA,rcp85_2050,1
stuart_7,NA,rcp85_2100,1
stuart_8,NA,current,1
stuart_8,NA,rcp26_2050,1
stuart_8,NA,rcp26_2100,1
stuart_8,NA,rcp45_2050,1
stuart_8,NA,rcp45_2100,1
stuart_8,NA,rcp85_2050,1
stuart_8,NA,rcp85_2100,1
stuart_9,NA,current,1
stuart_9,NA,rcp26_2050,1
stuart_9,NA,rcp26_2100,1
stuart_9,NA,rcp45_2050,1
stuart_9,NA,rcp45_2100,1
stuart_9,NA,rcp85_2050,1
stuart_9,NA,rcp85_2100,1
